"businessname","legalowner","namelast","namefirst","licenseno","issdttm","expdttm","licstatus","licensecat","descript","result","resultdttm","violation","viollevel","violdesc","violdttm","violstatus","statusdate","comments","address","city","state","zip","property_id","latitude","longtitude","rank"
"68 Chinese Fast Food","P & C COMPANY: TONG'S FAS T FOOD","Tony Q Huynh"," ",20591,"2012-03-01 10:29:40","2015-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","48   Winter ST","Boston","MA",2108,155968,42.355863,-71.061898,1
"7 - Eleven No. 37491A","","Abu Khan Franchise"," ",75776,"2011-12-08 11:27:06","2018-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","684   Centre ST","Jamaica Plain","MA",2130,157290,42.311843,-71.114001,1
"7 Star St. Bistro/Astro Diner/Rozzie Ramen","","Amphitryon Restaurant Group L L C"," ",75599,"2012-03-13 11:18:27","2017-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","153   Belgrade AVE","Roslindale","MA",2131,156392,42.286425,-71.136969,1
"73 Cafe","  ","Sodexo Inc."," ",68356,"2012-02-27 10:52:04","2021-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","73   Tremont ST","Boston","MA",2108,322378,42.35788,-71.06082,1
"75 CHESTNUT","MORRIS H BARRY","THOMAS A. KERSHAW PRES."," ",20638,"2012-01-24 12:54:03","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-10-20,"590.004/4-202.18-C","*","Ventilation Hood Systems  Filters (C)","2022-10-20 16:36:29","Fail","","Replace the missing hood filter above the cook line.","75   Chestnut ST","Boston","MA",2108,31472,42.356898,-71.070971,1
"753 South","PETRUZZIELLO LUIGI R TS","Judge","Stephen",332241,"2017-05-01 09:13:20","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Filed",2022-10-26,"590.004/4-101.19-C","*","Nonfood-Contact Surfaces (C)","2022-10-26 21:03:48","Fail","","Wall mounted can opened is attached to an unsealed block of wood in the basement - ensure all surfaces are [ clean - smooth - durable and non absorbant ] seal all exposed wooden surfaces in the kitchen / area where needed as we discussed during inspection","749   South ST","Roslindale","MA",2131,128941,42.28716,-71.12912,1
"89 Broad Street/Fin Point","W-BOSTON LLC","MNM Restaurant Group LLC","Mark Grzelak",200737,"2016-08-17 08:52:55","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Filed",2022-04-12,"590.004/4-602.13-C","*","Nonfood Contact Surfaces (C)","2022-04-12 11:22:09","Fail","","At the restaurant bar  clean the tops of the 1 gallon chemical containers feeding int the dish machine. Remove residue buildup","89   Broad ST","Boston","MA",2110,20586,42.35744,-71.05316,1
"89C Crepe & Ice Cream","","Weng","Qing",302293,"2017-08-29 13:11:47","2018-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","75   Harvard AVE","Allston","MA",2134,70397,42.353624,-71.132412,1
"99 RESTAURANT AND PUB","","O'Charley's Inc.","Attn: Lic.Compliance",19530,"2012-01-09 14:42:40","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-02-24,"590.006/6-201.12-C","*","Floors  Walls  and Ceilings  Utility Lines (C)","2022-02-24 14:17:24","Fail","","Heavy frost build up on condenser in walk-in freezer  clean to remove / Repair","29  Austin ST","Charlestown","MA",2129,155829,42.374884,-71.067065,1
"A & N PIZZA","MVP INVESTMENTS LLC","SAVVAS MICHAELIDIS PRES."," ",23626,"2012-02-14 12:32:25","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-03-17,"590.003/3-501.15-C","*","(B) Cooling Methods (C)","2022-03-17 12:34:45","Fail","","There are pieces of chicken on the top of the pizza unit that are cooling.  Provide proper cooling methods to be sure that items cool rapidly.","1409   Centre ST","West Roxbury","MA",2132,27566,42.29413,-71.13674,1
"A @ Time","SHERMAN LEONARD S TS","Suwat Piyathanawiwat"," ",83847,"2013-01-07 08:55:19","2016-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","417   Cambridge ST","Allston","MA",2134,25121,42.355123,-71.134062,1
"A C Farm Market","  ","Donald Lam Nguyen"," ",74325,"2012-01-05 10:14:33","2022-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-01-27,"590.002/2-301.15-PF","**","Where to Wash (Pf)","2022-01-27 11:00:44","Fail","","PIC will need to discontinue to was hands in prep sink. Must use hand sink.","1429   Dorchester AVE","Dorchester","MA",2122,164474,42.302302,-71.0598,1
"A Good Mart","LADIES GARM WRKRS CENTER INC","Sun Wing LLC","Rongfu Huang",439841,"2020-12-08 08:44:50","2022-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-03-29,"590.003(A)/3-201.11-P","***","Compliance with Food Law (P)","2022-03-29 11:22:46","Fail","","Duck eggs for sale in retail cooler are not from an approved source. Invoice from individual  not a company. Discontinue selling duck eggs from unknown source.","27   Harrison AVE","Boston","MA",2111,69823,42.351798,-71.061443,1
"A K's Take Out","DUNKLE ROBERT X","Koutounidis","Stylianos",28862,"2012-04-24 08:44:53","2017-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","305   D ST","South Boston","MA",2127,45493,42.339955,-71.049226,1
"A K's Take Out & Delivery","BOUKOUVALAS ATHENA TS","Saini","Jasbir",28531,"2011-12-20 14:29:52","2023-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-03-10,"590.003/3-501.16-P1","***","(A)(1) Time/Temperature Control for Safety Food  Hot and Cold Holding (P)","2022-03-10 12:38:39","Fail","","Observed cut sweet potatoes stored in steam table @ 90F. Discussed with PIC to monitor and maintain hot holding @ 135F or above. PIC reheated and corrected on site.","1427   Tremont ST","Mission Hill","MA",2120,136818,42.331858,-71.096333,1
"A La Esh","ROMAN CATH ARCH OF BOS","Sincha Restaurants LLC"," ",451366,"2021-06-16 13:10:17","2021-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","65  Northern Av","Boston","MA",2210,103900,42.352583,-71.04586,1
"A Sweet Place","  ","A Sweet Place L LC"," ",78290,"2012-04-26 14:47:56","2013-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","1514   Dorchester AVE","Dorchester","MA",2122,224753,42.29902,-71.06036,1
"A. Butter","","A. Butter LLC","Att: Accounts Payable",418279,"2019-12-31 08:10:36","2021-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","633  Centre ST","Jamaica Plain","MA",2130,344812,42.313746,-71.114645,1
"A-1 Convenience","KING ROBERT W TS","Javed","Shaikh",28193,"2012-01-06 14:02:15","2022-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","285 A   Main ST","Charlestown","MA",2129,88508,42.37766,-71.066886,1
"AAA GROCERY","","AAA GROCERY INC."," ",126307,"2014-02-24 09:50:50","2017-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","181   Washington ST","Dorchester","MA",2121,156122,42.303377,-71.078771,1
"Abbott's Frozen Custard","SA & ZE CO LLC","Mary P. Dauria"," ",74489,"2011-12-22 15:03:52","2020-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","362  Washington ST","Brighton","MA",2135,143525,42.348955,-71.153641,1
"ABE & LOUIE'S","BOYLSTON AND GLOUCESTER LLC","BBRG TR LLC","C/O LICENSING SOLUTIONS",75242,"2012-01-10 13:05:36","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-07-20,"590.002(D)/2-103.11-PF","**","(A)-(P) Person-In-Charge-Duties (Pf)","2022-07-20 15:20:22","Fail","","Multiple priority  priority foundation  and core violations noted on inspection  All employees must be properly trained in food safety and sanitation as it relates to their assigned duties per code","793   Boylston ST","Boston","MA",2116,18399,42.34924,-71.0816,1
"Abreu Market","","Abreu Corporation LLC"," ",174408,"2016-06-09 15:43:22","2022-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-05-04,"590.006/6-404.11-PF","**","Segregation and Location-Distressed Merchandise (Pf)","2022-05-04 14:15:58","Fail","","There are sme products on the shelves past their ""best by"" date.  Remove these products or alert customers to the fact they are past date.","180   Hyde Park AVE","Jamaica Plain","MA",2130,77215,42.294741,-71.116732,1
"Abyssinia Market","GARVIN ROGER","Zewditu","Mengestu",134743,"2015-03-16 09:14:58","2022-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-04-21,"590.003/3-602.11-PF","**","Food Labels (Pf)","2022-04-21 11:05:21","Fail","","Provide proper labeling for individual packaged items.","1127   Harrison AVE","Roxbury","MA",2119,157231,42.330446,-71.08203,1
"Academy Market","MARCELINO ANDUJAR","Academy Market Inc."," ",31731,"2011-12-12 10:38:45","2020-12-31 23:59:00","Inactive","RF","Retail Food","HE_Fail",2022-01-18,"590.002(D)/2-103.11-PF","**","(A)-(P) Person-In-Charge-Duties (Pf)","2022-01-18 15:26:06","Fail","","Unpaid fees for the current 2022 health permit - address immediately","1588  Columbus AVE","Roxbury","MA",2119,156771,42.321557,-71.098071,1
"ACADEMY MARKET","MARCELINO ANDUJAR","MARCELINO ANDUJAR"," ",22414,"2008-11-17 14:44:57","2008-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-06-13,"","",""," ","",""," ","1588  Columbus AVE","Roxbury","MA",2119,156771,42.321557,-71.098071,1
"ALEX PIZZA","","EL EMAN INC./ALEX PIZZA"," ",24310,"2012-02-23 13:20:11","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-06-13,"","",""," ","",""," ","1252   Washington ST","Roxbury","MA",2118,157038,42.342301,-71.067378,1
"Accents","","Food Pantry LTD","Attn: Accounts Payable",125111,"2013-12-27 13:36:27","2020-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","10   Huntington AVE","Boston","MA",2116,76236,42.348545,-71.077314,1
"ACE Sushi @ Stop & Shop No. 429","SOUTH BAY (E&A) LLC","Asiana Cuisine Enterprises","Harlan Chin",141538,"2016-01-27 14:39:23","2018-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","1100  Massachusetts AVE","Dorchester","MA",2125,155147,42.3263,-71.06527,1
"Acougue Sabor Brasil","DELUCA MARIO","Coelho","Jose",25944,"2012-01-25 10:56:00","2016-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","233   London ST","East Boston","MA",2128,87051,42.37589,-71.03578,1
"Adams B & B","HALEY JOSEPH F","JOE HALEY"," ",21988,"2011-12-30 14:16:39","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","12   Edgerly RD","Boston","MA",2115,51167,42.34606,-71.08786,1
"Adams Convenience","ADAMS CONVENIENCE STORE  LLC","Chung","Niwedita",123701,"2013-11-19 15:20:29","2015-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","295   Adams ST","Dorchester","MA",2122,156319,42.299128,-71.05811,1
"ADAMS CONVENIENCE STORE","  ","Elseidy","Ahmad",139414,"2015-01-21 11:54:02","2023-12-31 23:59:00","Active","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","114   Blackstone ST","Boston","MA",2109,162104,42.361782,-71.056763,1
"Adams Fish Mkt","ADAMS VILLAGE LLC","CIULLA JR   PRES","JOHN",18021,"2011-12-23 10:48:43","2022-12-31 23:59:00","Active","RF","Retail Food","HE_Filed",2022-01-27,"590.002(C)/2-102.12-C","*","(A) Certified Food Protection Manager (C)","2022-01-27 11:41:32","Fail","","No one on site with a current Food Allergen Certification. Provide.","781   Adams ST","Dorchester","MA",2124,968,42.283394,-71.055886,1
"Adams Village Auto Service","MOTIVA ENTERPRISES LLC","Habchi","Salim",126384,"2014-02-19 10:58:35","2018-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","761   Adams ST","Dorchester","MA",2124,960,42.28405,-71.05587,1
"Adams Village Gas LLC","MOTIVA ENTERPRISES LLC","Saab","Marcelle",90492,"2013-04-30 08:47:25","2013-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","761   Adams ST","Dorchester","MA",2124,960,42.28405,-71.05587,1
"Advance Auto Parts No. 8636","ABRAHAMS RICHARD TS","Advance Patriot Inc.","Lease Property Tax Accounting",27683,"2012-01-18 17:27:42","2018-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","676   Morton ST","Dorchester","MA",2124,97760,42.28515,-71.09268,1
"Addis Red Sea","VENTOURIS EMILIOS TS","ASSEFA","MISRAK",18526,"2011-12-15 13:23:28","2019-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","540   Tremont ST","Roxbury","MA",2116,137618,42.34405,-71.07097,1
"Advance Auto Parts No. 8649","STEINBERG ALEX TS","Advance Patriot Inc.","Lease Property Tax Accounting",27679,"2012-01-18 17:23:55","2018-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","373   Cambridge ST","Allston","MA",2134,25114,42.355492,-71.133277,1
"AFC Sushi @ Berklee Sch. of Music","WILLIAM NOLAN","AFC Franchise Corp.","Sharon Wright  Comp. Sup.",135311,"2014-10-14 09:08:01","2015-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","939   Boylston ST","Boston","MA",2115,158135,42.348238,-71.08505,1
"AFC Sushi @ Shaw's 3588","","AFC CORP."," ",378993,"2018-10-23 15:43:39","2022-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-01-04,"590.008/8-103.12-P","***","Conformance with Approved Procedures (P)","2022-01-04 12:08:55","Fail","","Some of letters of guarantee expired. No current lab test results.  Provide.","1065   Commonwealth AVE","Allston","MA",2134,36985,42.35268,-71.12333,1
"AFC Sushi @ Shaw's No.  541","SHAW'S SUPERMARKETS  INC. #7579/541","Advanced Fresh Concepts Franchise Corp."," ",76732," "," ","Inactive","RF","Retail Food","HE_NotReq",2022-09-14,"","",""," ","",""," ","1377   Hyde Park AVE","Hyde Park","MA",2136,156188,42.25173,-71.125688,1
"AFC Sushi @ Shaws No. 1208","SHAW'S SUPERMARKET INC. #7508/388","ADVANCED FRESH CONCEPTS","Franchise Corp",364776,"2018-07-02 08:53:47","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-04-12,"590.006/6-501.12-C","*","Cleaning  Frequency and Restrictions (C)","2022-04-12 12:26:31","Fail","","Condensor fan covers with visible dust build up / Clean to remove","246  Border ST","East Boston","MA",2128,155969,42.376441,-71.040039,1
"AFC Sushi @ Shaw's No. 539","BOSTON CITY PROPERTIES II","Ishii","Ryuji",140031,"2015-03-09 09:46:57","2015-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","75   Spring ST","West Roxbury","MA",2132,129598,42.27871,-71.1633,1
"AFC SUSHI @SIMMONS COLLEGE","SIMMONS COLLEGE","Advanced Fresh Concepts Franchise Corp."," ",73444,"2012-02-22 15:22:59","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","300   Fenway  ","Boston","MA",2115,57444,42.33931,-71.09996,1
"AFC Sushi @ Shaw's No. 586","  ","Advanced Fresh Concepts Franchise Corp."," ",126794,"2014-03-20 08:36:54","2017-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","4   River ST","Mattapan","MA",2108,169117,42.271841,-71.069999,1
"AFC SUSHI @ STARMARKET 4572","BRUEGGER'S BAGEL BAKERY","ADVANCED FRESH CONCEPTS","Franchise CORP",21946,"2012-02-22 15:38:08","2022-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-02-14,"590.008/8-103.12-P","***","Conformance with Approved Procedures (P)","2022-02-14 11:46:51","Fail","","Lab report in HACCP expired- Provide updated lab testing Print up parasite destruction letters and add to HACCP","370  Western AVE","Brighton","MA",2135,156610,42.361095,-71.137831,1
"AFC Sushi @ Suffolk University","SUFFOLK UNIVERSITY","Advanced Fresh Concepts Franchise Corp."," ",34037,"2012-03-01 11:29:32","2015-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","41   Temple ST","Boston","MA",2114,134172,42.36,-71.06383,1
"AFC Sushi @ Walgreens No. 15390","  ","Advanced Fresh Concepts Franchise Corp."," ",90461,"2013-05-02 09:05:55","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-06-23,"590.006/6-201.11-C","*","Floors  Walls and Ceilings-Cleanability (C)","2022-06-23 12:29:06","Fail","","clean the floor area under the prep sink in the kitchen.","10   School ST","Boston","MA",2108,169533,42.357327,-71.058968,1
"BARRY'S BOOTCAMP","  ","BBCB L L C"," ",90360,"2013-09-30 09:47:59","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","38   Chauncy ST","Boston","MA",2111,205525,42.3538,-71.05977,1
"AFC Sushi @Star Market No. 3577","BOSTON CITY PROPERTIES II","Concepts Franchise Corp.","Advanced Fresh",354839,"2018-02-05 09:25:12","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","75   Spring ST","West Roxbury","MA",2132,129598,42.27871,-71.1633,1
"Agganis Arena-FS","H.A. SPORTSERVICE  LLC LIC. DIV.","Trustees Of Boston University Inc."," ",490592,"2022-09-02 09:51:44","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Pass",2022-09-01,"","",""," ","",""," ","925   Commonwealth AVE","Boston","MA",2215,156282,42.352166,-71.11768,1
"Agganis Arena-Stand 1","H.A. SPORTSERVICE  LLC LIC. DIV.","Trustees Of Boston University Inc."," ",490598,"2022-09-02 09:52:37","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Pass",2022-09-01,"","",""," ","",""," ","925   Commonwealth AVE","Boston","MA",2215,156282,42.352166,-71.11768,1
"Agganis Arena-Stand 2","H.A. SPORTSERVICE  LLC LIC. DIV.","Trustees Of Boston University Inc."," ",490600,"2022-09-02 09:53:20","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Pass",2022-09-01,"","",""," ","",""," ","925   Commonwealth AVE","Boston","MA",2215,156282,42.352166,-71.11768,1
"Agganis Arena-Stand 3","H.A. SPORTSERVICE  LLC LIC. DIV.","Trustees Of Boston University Inc."," ",490602,"2022-09-02 10:18:22","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Pass",2022-09-01,"","",""," ","",""," ","925   Commonwealth AVE","Boston","MA",2215,156282,42.352166,-71.11768,1
"Agganis Arena-Stand 4","H.A. SPORTSERVICE  LLC LIC. DIV.","Trustees Of Boston University Inc."," ",490604,"2022-09-02 10:18:57","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Pass",2022-09-01,"","",""," ","",""," ","925   Commonwealth AVE","Boston","MA",2215,156282,42.352166,-71.11768,1
"Agganis Arena-Stand 5","H.A. SPORTSERVICE  LLC LIC. DIV.","Trustees Of Boston University Inc."," ",490605,"2022-09-02 10:19:33","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Pass",2022-09-01,"","",""," ","",""," ","925   Commonwealth AVE","Boston","MA",2215,156282,42.352166,-71.11768,1
"Agoro's Pizza Bar & Grill","","Liakos","Nicholas",303536,"2016-10-07 09:02:01","2018-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","356  Chestnut Hill AV","Brighton","MA",2135,157064,42.336824,-71.151471,1
"Aguasvivas Market","MONTEIRO MARIA TS","Aguasvivas","Angel",98124,"2013-09-04 09:30:00","2022-12-31 23:59:00","Active","RF","Retail Food","HE_Pass",2022-10-03,"","",""," ","",""," ","920   Morton ST","Dorchester","MA",2124,97830,42.280686,-71.082955,1
